organization,category,careers_page,verdict,reason,board
Palantir Technologies,Defense Tech,https://www.palantir.com/careers/,WORKING,"resolved, 310 postings",lever:palantir
Bugcrowd,Cybersecurity,https://www.bugcrowd.com/about/careers/,WORKING,"resolved, 13 postings",greenhouse:bugcrowd
Dragos,Cybersecurity,https://www.dragos.com/careers/,WORKING,"resolved, 59 postings",greenhouse:dragos
Eye Security,Cybersecurity,https://www.eye.security/careers,WORKING,"resolved, 27 postings",ashby:eye-security
Guardsquare,Cybersecurity,https://www.guardsquare.com/careers,WORKING,"resolved, 16 postings",greenhouse:guardsquare
HackerOne,Cybersecurity,https://www.hackerone.com/careers,WORKING,"resolved, 22 postings",ashby:hackerone
Immersive Labs,Cybersecurity,https://www.immersivelabs.com/careers,WORKING,"resolved, 15 postings",ashby:immersivelabs
Nozomi Italia,Cybersecurity,https://www.nozominetworks.com/company/careers,WORKING,"resolved, 16 postings",greenhouse:nozominetworks
Nozomi Networks,Cybersecurity,https://www.nozominetworks.com/company/careers,WORKING,"resolved, 16 postings",greenhouse:nozominetworks
Sophos,Cybersecurity,https://www.sophos.com/en-us/company/careers,WORKING,"resolved, 115 postings",lever:sophos
Tenable,Cybersecurity,https://www.tenable.com/careers,WORKING,"resolved, 39 postings",greenhouse:tenableinc
Comand AI,Defense Tech,https://comand.ai/careers,WORKING,"resolved, 12 postings",ashby:comand-ai
The Exploration Company,Space Economy,https://www.exploration.space/careers,WORKING,"resolved, 102 postings",ashby:the-exploration-company
DeepL,Big Tech & AI,https://jobs.deepl.com,WORKING,"resolved, 61 postings",ashby:DeepL
Dust,Big Tech & AI,https://dust.tt/jobs,WORKING,"resolved, 26 postings",ashby:dust
H Company,Big Tech & AI,https://www.hcompany.ai/careers,WORKING,"resolved, 23 postings",ashby:hcompany
N26,Big Tech & AI,https://n26.com/en/careers,WORKING,"resolved, 64 postings",greenhouse:n26
Nothing,Big Tech & AI,https://nothing.tech/pages/careers,WORKING,"resolved, 10 postings",greenhouse:nothing
Owkin,Big Tech & AI,https://www.owkin.com/careers,WORKING,"resolved, 3 postings",ashby:owkin
Photoroom,Big Tech & AI,https://www.photoroom.com/careers,WORKING,"resolved, 18 postings",ashby:photoroom
Flow Traders,Finance & Prestige,https://www.flowtraders.com/careers,WORKING,"resolved, 41 postings",greenhouse:flowtraders
QuiX Quantum,Quantum & Deep Tech,https://www.quixquantum.com/careers,WORKING,"resolved, 7 postings",greenhouse:quixquantumbv
Axelera AI,Tech & Industry,https://www.axelera.ai/careers,WORKING,"resolved, 10 postings",ashby:axelera
Airbus Protect,Cybersecurity,https://www.airbus.com/en/careers,WORKING,"fine, runs on workday (no connector yet)",
CY4GATE,Cybersecurity,https://www.cy4gate.com/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
CybExer Technologies,Cybersecurity,https://cybexer.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
EclecticIQ,Cybersecurity,https://www.eclecticiq.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Fox-IT (NCC Group),Cybersecurity,https://www.nccgroup.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Infodas,Cybersecurity,https://www.infodas.com/en/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
Leonardo Cyber & Security Solutions,Cybersecurity,https://www.leonardo.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
NVISO,Cybersecurity,https://www.nviso.eu/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Riscure,Cybersecurity,https://www.riscure.com/careers/,WORKING,"403 to a script, but fine in a browser",
Telsy (TIM),Cybersecurity,https://www.telsy.com/en/careers/,SUSPECT,TLS certificate misconfigured,
Thales SIX GTS (Cyber & Secure Comms),Cybersecurity,https://careers.thalesgroup.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Toreon,Cybersecurity,https://www.toreon.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
genua,Cybersecurity,https://www.genua.de/en/company/careers,BROKEN,"404 — URL is wrong, needs replacing",
secunet Security Networks,Cybersecurity,https://www.secunet.com/en/career,WORKING,"fine, but JavaScript-rendered — use --browser",
Anduril Industries,Defense Tech,https://www.anduril.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Helsing,Defense Tech,https://helsing.ai/careers,WORKING,"429 rate limited, page is fine",
Airbus Defence and Space,Defense & Aerospace,https://www.airbus.com/en/careers,WORKING,"fine, runs on workday (no connector yet)",
Thales Alenia Space,Defense & Aerospace,https://careers.thalesgroup.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Thales Group,Defense & Aerospace,https://careers.thalesgroup.com,WORKING,"fine, but JavaScript-rendered — use --browser",
CERT-EU,Institutions & Agencies,https://cert.europa.eu/careers,BROKEN,"404 — URL is wrong, needs replacing",
European Commission (EPSO),Institutions & Agencies,https://eu-careers.europa.eu,WORKING,"fine, runs on eu-careers (no connector yet)",
"DG DEFIS (Defence, Industry and Space)",Institutions & Agencies,https://eu-careers.europa.eu,WORKING,"fine, runs on eu-careers (no connector yet)",
EDA - European Defence Agency,Institutions & Agencies,https://eda.europa.eu/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
ENISA,Institutions & Agencies,https://www.enisa.europa.eu/about-enisa/recruitment,BROKEN,"404 — URL is wrong, needs replacing",
EU SatCen,Institutions & Agencies,https://www.satcen.europa.eu/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
EUISS - EU Institute for Security Studies,Institutions & Agencies,https://www.iss.europa.eu/about-us/vacancies,BROKEN,"404 — URL is wrong, needs replacing",
EUROCONTROL,Institutions & Agencies,https://www.eurocontrol.int/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
EUSPA - EU Agency for the Space Programme,Institutions & Agencies,https://www.euspa.europa.eu/about/careers,BROKEN,"404 — URL is wrong, needs replacing",
European Space Agency (ESA),Institutions & Agencies,https://www.esa.int/About_Us/Careers_at_ESA,WORKING,"fine, but JavaScript-rendered — use --browser",
Europol,Institutions & Agencies,https://www.europol.europa.eu/careers-procurement/vacancies,WORKING,"fine, but JavaScript-rendered — use --browser",
NATO DIANA,Institutions & Agencies,https://www.diana.nato.int/careers.html,WORKING,"403 to a script, but fine in a browser",
NATO Innovation Fund,Institutions & Agencies,https://www.nif.fund/careers,BROKEN,"404 — URL is wrong, needs replacing",
NCIA - NATO Communications and Information Agency,Institutions & Agencies,https://www.ncia.nato.int/careers.html,WORKING,"403 to a script, but fine in a browser",
eu-LISA,Institutions & Agencies,https://www.eulisa.europa.eu/about-us/jobs,BROKEN,"404 — URL is wrong, needs replacing",
EPSO Blue Book Traineeship,Programs & Competitions,https://traineeships.ec.europa.eu,WORKING,"fine, but JavaScript-rendered — use --browser",
ESA Network Partnering Initiative (NPI),Programs & Competitions,https://nebula.esa.int,SUSPECT,HTTP 503,
ESA Young Graduate Trainee (YGT),Programs & Competitions,https://jobs.esa.int,WORKING,"fine, runs on successfactors (no connector yet)",
TNO,Research & Big Science,https://www.tno.nl/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Airbus Defence and Space Netherlands,Space Economy,https://www.airbus.com/en/careers,WORKING,"fine, runs on workday (no connector yet)",
CGI Space Netherlands,Space Economy,https://www.cgi.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Eutelsat / OneWeb,Space Economy,https://www.eutelsat.com/en/careers.html,BROKEN,"404 — URL is wrong, needs replacing",
GMV,Space Economy,https://www.gmv.com/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
Hispasat,Space Economy,https://www.hispasat.com/en/talent,WORKING,"fine, but JavaScript-rendered — use --browser",
Look Up Space,Space Economy,https://lookupspace.com,WORKING,"fine, runs on recruitee (no connector yet)",
Mynaric,Space Economy,https://mynaric.com/careers/,WORKING,"fine, runs on personio (no connector yet)",
RHEA Group,Space Economy,https://www.rheagroup.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Rhea System NL,Space Economy,https://www.rheagroup.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
SES,Space Economy,https://www.ses.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Solenix,Space Economy,https://www.solenix.ch/careers,BROKEN,"404 — URL is wrong, needs replacing",
SpaceRISE (IRIS2 consortium),Space Economy,https://www.ses.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Starion Group (ex Telespazio VEGA),Space Economy,https://www.stariongroup.eu/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Telespazio Belgium,Space Economy,https://www.telespazio.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Terma Space,Space Economy,https://www.terma.com/careers/,WORKING,"403 to a script, but fine in a browser",
Unseenlabs,Space Economy,https://unseenlabs.space/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Vyoma,Space Economy,https://vyoma.space/careers,BROKEN,"404 — URL is wrong, needs replacing",
ASML,Tech & Industry,https://www.asml.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
NXP Semiconductors,Tech & Industry,https://www.nxp.com/company/about-nxp/careers,WORKING,"fine, runs on workday (no connector yet)",
Clingendael Institute,Think Tank & Policy,https://www.clingendael.org/vacancies,WORKING,"403 to a script, but fine in a browser",
College of Europe,University & Training,https://www.coleurope.eu/study,WORKING,"fine, but JavaScript-rendered — use --browser",
Aizoon,Cybersecurity,https://www.aizoongroup.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Akamai,Cybersecurity,https://www.akamai.com/careers,WORKING,"403 to a script, but fine in a browser",
Almond,Cybersecurity,https://www.almond.eu/carrieres/,BROKEN,"404 — URL is wrong, needs replacing",
Amossys (Almond),Cybersecurity,https://www.almond.eu/carrieres/,BROKEN,"404 — URL is wrong, needs replacing",
Approach Cyber,Cybersecurity,https://www.approach-cyber.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Arctic Wolf,Cybersecurity,https://arcticwolf.com/careers/,WORKING,"fine, runs on workday (no connector yet)",
Armis,Cybersecurity,https://www.armis.com/careers/,WORKING,"403 to a script, but fine in a browser",
Bitdefender,Cybersecurity,https://www.bitdefender.com/company/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
BlueVoyant,Cybersecurity,https://www.bluevoyant.com/careers,WORKING,"403 to a script, but fine in a browser",
Certego (VEM Group),Cybersecurity,https://www.certego.net/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Check Point,Cybersecurity,https://careers.checkpoint.com,WORKING,"403 to a script, but fine in a browser",
Claroty,Cybersecurity,https://claroty.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Cloudflare,Cybersecurity,https://www.cloudflare.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Computest,Cybersecurity,https://www.computest.nl/nl/werken-bij/,WORKING,"fine, but JavaScript-rendered — use --browser",
CrowdStrike,Cybersecurity,https://www.crowdstrike.com/careers/,WORKING,"fine, runs on workday (no connector yet)",
CryptoNext Security,Cybersecurity,https://cryptonext-security.com/careers,SUSPECT,TLS certificate misconfigured,
Cyberagentur (Germany),Cybersecurity,https://www.cyberagentur.de/karriere/,WORKING,"fine, but JavaScript-rendered — use --browser",
